id	name	area_sqkm	center_lat	center_lng	current_ids
LK-3134	Gonapinuwala	25.39	6.16609	80.131284	['LK-3134']
LK-3136-pre2019	Hikkaduwa (pre 2019)	63.17	6.13984	80.122578	['LK-3135', 'LK-3136', 'LK-3137']
LK-3139	Galle 4 Gravets	22.3	6.053635	80.207916	['LK-3139']
LK-3142	Bope-Poddala	28.61	6.083812	80.216468	['LK-3142']
LK-3145	Akmeemana	71.2	6.059798	80.284577	['LK-3145']
LK-3148	Yakkalamulla	108.68	6.107609	80.360034	['LK-3148']
LK-3151	Imaduwa	58.36	6.032628	80.358504	['LK-3151']
LK-3154	Habaraduwa	48.81	6.001825	80.320646	['LK-3154']
LK-3203	Pitabaddara	136.99	6.239504	80.473365	['LK-3203']
LK-3206	Kotapola	178.98	6.322503	80.538487	['LK-3206']
LK-3209	Pasgoda	154.01	6.276173	80.608151	['LK-3209']
LK-3212	Mulatiyana	120.4	6.147335	80.586973	['LK-3212']
LK-3215	Athuraliya	63.05	6.117181	80.509603	['LK-3215']
LK-3218	Akuressa	150.06	6.135891	80.440469	['LK-3218']
LK-3221	Welipitiya	69.3	6.016747	80.439249	['LK-3221']
LK-3224	Malimbada	42.86	6.019686	80.49915	['LK-3224']
LK-3227	Kaburupitiya	57.89	6.06571	80.560668	['LK-3227']
LK-3230	Hakmana	49.52	6.094981	80.649031	['LK-3230']
LK-3233	Kirinda Puhulwella	41.91	6.046066	80.636112	['LK-3233']
LK-3236	Thihagoda	52.81	6.010286	80.560316	['LK-3236']
LK-3239	Weligama	42.69	5.967502	80.445057	['LK-3239']
LK-3242	Matara Four Gravets	56.63	5.962773	80.563249	['LK-3242']
LK-3245	Devinuwara	38.16	5.977065	80.614856	['LK-3245']
LK-3248	Dikwella	51.11	5.985368	80.673372	['LK-3248']
LK-3303	Sooriyawewa	193.66	6.29244	81.015794	['LK-3303']
LK-3306	Lunugamwehera	284.91	6.33159	81.162489	['LK-3306']
LK-3309	Thissamaharama	792.11	6.362319	81.429386	['LK-3309']
LK-3312	Hambantota	343.78	6.204568	81.122853	['LK-3312']
LK-3315	Ambalantota	212.81	6.16102	80.96355	['LK-3315']
LK-3318	Angunakolapelessa	171.85	6.19339	80.851244	['LK-3318']
LK-3321	Weeraketiya	114.68	6.172607	80.771748	['LK-3321']
LK-3324	Katuwana	105.09	6.263752	80.715498	['LK-3324']
LK-3325	Walasmulla	108.56	6.199373	80.681779	['LK-3325']
LK-3327	Okewela	42.14	6.130071	80.693395	['LK-3327']
LK-3330	Beliatta	102.7	6.050734	80.720383	['LK-3330']
LK-3333	Tangalle	152.77	6.072584	80.826452	['LK-3333']
LK-4103	Islands North (Kayts)	32.47	9.67518	79.850124	['LK-4103']
LK-4104	Karainagar	23.64	9.735886	79.874717	['LK-4104']
LK-4106	Valikamam West (Chankanai)	48.94	9.74171	79.945292	['LK-4106']
LK-4109	Valikamam South West (Sandilipay)	47.65	9.750615	79.981145	['LK-4109']
LK-4112	Valikamam North (Thllippalai)	61.68	9.789107	80.042169	['LK-4112']
LK-4115	Valikamam South (Uduvil)	34.38	9.744762	80.034763	['LK-4115']
LK-4118	Valikamam East (Kopay)	108.75	9.736957	80.097029	['LK-4118']
LK-4121	Vadamaradchchi South-West (Karaveddy)	86.46	9.775903	80.183361	['LK-4121']
LK-4124	Vadamaradchchi East	189.15	9.612378	80.410335	['LK-4124']
LK-4127	Vadamaradchi North (Point Pedro)	39.2	9.807963	80.218427	['LK-4127']
LK-4130	Thenmaradchi (Chavakachcheri)	236.07	9.677007	80.189642	['LK-4130']
LK-4133	Nallur	32.67	9.667633	80.049097	['LK-4133']
LK-4136	Jaffna	10.98	9.663344	80.021463	['LK-4136']
LK-4139	Islands South (Velanai)	90.73	9.622153	79.891398	['LK-4139']
LK-4142	Delft	48.44	9.513087	79.690805	['LK-4142']
LK-4203	Mannar Town	220.18	8.991979	79.887564	['LK-4203']
LK-4206	Manthai West	614.98	9.026464	80.112292	['LK-4206']
LK-4209	Madhu	565.01	8.849314	80.231202	['LK-4209']
LK-4212	Nanaddan	147.4	8.835289	79.993633	['LK-4212']
LK-4215	Musali	463.26	8.677386	80.021293	['LK-4215']
LK-4303	Vavuniya North	686.72	9.004658	80.576682	['LK-4303']
LK-4306	Vavuniya South	216.25	8.7351	80.513638	['LK-4306']
LK-4309	Vavuniya	616.85	8.833801	80.456699	['LK-4309']
LK-4312	Vengalacheddikulam	415.08	8.692808	80.294587	['LK-4312']
LK-4403	Thunukkai	329.19	9.222892	80.286117	['LK-4403']
LK-4406	Manthai East	485.91	9.06305	80.308719	['LK-4406']
LK-4409	Puthukkudiyiruppu	326.53	9.3143	80.637424	['LK-4409']
LK-4412	Oddusuddan	762.54	9.194731	80.534922	['LK-4412']
LK-4415	Maritimepattu	612.64	9.169164	80.801013	['LK-4415']
LK-4418	Welioya	164.33	8.984002	80.796983	['LK-4418']
LK-4503	Pachchilaipalli	176.03	9.590645	80.359079	['LK-4503']
LK-4506	Kandavalai	274.3	9.445569	80.484949	['LK-4506']
LK-4509	Karachchi	395.57	9.359072	80.333852	['LK-4509']
LK-4512	Poonakary	473.39	9.396612	80.168652	['LK-4512']
LK-5103	Koralai Pattu North	515.5	8.088188	81.37461	['LK-5103']
LK-5104	Koralai Pattu Central	8.04	7.928343	81.517588	['LK-5104']
LK-5106	Koralai Pattu West	22.94	7.917486	81.494041	['LK-5106']
LK-5109	Koralai Pattu	30.69	7.906709	81.546148	['LK-5109']
LK-5110	Koralai Pattu South	598.36	7.864123	81.376528	['LK-5110']
LK-5112	Eravur Pattu	599.22	7.705871	81.453462	['LK-5112']
LK-5115	Eravur Town	1.86	7.775874	81.608206	['LK-5115']
LK-5118	Manmunai North	45.7	7.726202	81.684938	['LK-5118']
LK-5121	Manmunai West	280.58	7.632937	81.598993	['LK-5121']
LK-5124	Kattankudy	3.88	7.6829	81.732091	['LK-5124']
LK-5127	Manmunai Pattu	25.45	7.639195	81.753752	['LK-5127']
LK-5130	Manmunai South West	145.14	7.567598	81.661919	['LK-5130']
LK-5133	Porativu Pattu	159.21	7.497825	81.704155	['LK-5133']
LK-5136	Manmunai South & Eruvil Pattu	43.92	7.522348	81.791102	['LK-5136']
LK-5203	Dehiattakandiya	374.18	7.626104	81.073565	['LK-5203']
LK-5206	Padiyathalawa	388.23	7.422272	81.261851	['LK-5206']
LK-5209	Mahaoya	680.41	7.55649	81.350833	['LK-5209']
LK-5212	Uhana	535.55	7.401039	81.592516	['LK-5212']
LK-5215	Ampara	139.52	7.275779	81.59961	['LK-5215']
LK-5216	Navithanveli	79.81	7.419463	81.762775	['LK-5216']
LK-5218	Sammanthurai	108.91	7.329298	81.767875	['LK-5218']
LK-5221	Kalmunai North	8.22	7.415778	81.821081	['LK-5221']
LK-5224	Kalmunai	12.7	7.424716	81.81138	['LK-5224']
LK-5225	Sainthamaruthu	3.35	7.392063	81.833112	['LK-5225']
LK-5227	Karaitivu	10.15	7.372969	81.833667	['LK-5227']
LK-5230	Nintavur	35.94	7.326839	81.839824	['LK-5230']
LK-5233	Addalaichenai	74.4	7.264536	81.812687	['LK-5233']
LK-5234	Irakkamam	67.23	7.2411	81.722174	['LK-5234']
LK-5236	Akkaraipattu	53.68	7.212584	81.798189	['LK-5236']
LK-5239	Alayadivembu	69.69	7.170789	81.807373	['LK-5239']
LK-5242	Damana	489.54	7.136138	81.629472	['LK-5242']
LK-5245	Tirukkovil	218.5	7.079586	81.794782	['LK-5245']
LK-5248	Pottuvil	309.36	6.949757	81.797796	['LK-5248']
LK-5251	Lahugala	815.3	6.743613	81.698939	['LK-5251']
LK-5303	Padavi Sri Pura	113.33	8.915208	80.855145	['LK-5303']
LK-5306	Kuchchaweli	446.97	8.813051	81.047186	['LK-5306']
LK-5309	Gomarankadawala	307.33	8.749348	80.966816	['LK-5309']
LK-5312	Morawewa	278.14	8.625746	81.019771	['LK-5312']
LK-5315	Town & Gravets	129.82	8.582618	81.174705	['LK-5315']
LK-5318	Thambalagamuwa	274.19	8.509573	81.042854	['LK-5318']
LK-5321	Kantale	412.73	8.342622	81.055903	['LK-5321']
LK-5324	Kinniya	151.55	8.435933	81.160269	['LK-5324']
LK-5327	Muthur	194.19	8.431494	81.291319	['LK-5327']
LK-5330	Seruvila	293.32	8.287808	81.25641	['LK-5330']
LK-5333	Verugal	90.54	8.318232	81.363485	['LK-5333']
LK-6103	Giribawa	205.37	8.103672	80.183754	['LK-6103']
LK-6106	Galgamuwa	273.2	8.01942	80.261519	['LK-6106']
LK-6109	Ehetuwewa	171.52	7.964571	80.356533	['LK-6109']
LK-6112	Ambanpola	140.33	7.907793	80.223831	['LK-6112']
LK-6115	Kotawehera	189.56	7.86602	80.12381	['LK-6115']
LK-6118	Rasnayakapura	124.56	7.765388	80.02517	['LK-6118']
LK-6121	Nikaweratiya	151.32	7.763229	80.145972	['LK-6121']
LK-6124	Maho	261.4	7.805441	80.291121	['LK-6124']
LK-6127	Polpitigama	415.64	7.803271	80.428893	['LK-6127']
LK-6130	Ibbagamuwa	217.17	7.617703	80.471158	['LK-6130']
LK-6133	Ganewatta	150.26	7.656692	80.37097	['LK-6133']
LK-6136	Wariyapola	201.99	7.662389	80.238951	['LK-6136']
LK-6139	Kobeigane	130.28	7.684376	80.100321	['LK-6139']
LK-6142	Bingiriya	193.62	7.607565	79.968083	['LK-6142']
LK-6145	Panduwasnuwara West	180.97	7.59967	80.078262	['LK-6145']
LK-6148	Panduwasnuwara East	102.5	7.556704	80.142781	['LK-6148']
LK-6149	Bamunakotuwa	110.54	7.547987	80.253693	['LK-6149']
LK-6151	Maspotha	66.36	7.558038	80.324834	['LK-6151']
LK-6154	Kurunegala	97.71	7.512057	80.353824	['LK-6154']
LK-6157	Mallawapitiya	79.25	7.468271	80.390824	['LK-6157']
LK-6160	Mawathagama	108.43	7.424469	80.444918	['LK-6160']
LK-6163	Rideegama	225.15	7.517219	80.518459	['LK-6163']
LK-6166	Weerabugedara	91.83	7.465802	80.271741	['LK-6166']
LK-6169	Kuliyapitiya East	113.78	7.469028	80.168506	['LK-6169']
LK-6172	Kuliyapitiya West	165.49	7.472637	80.055086	['LK-6172']
LK-6175	Udubaddawa	119.9	7.480501	79.947547	['LK-6175']
LK-6178	Pannala	282.22	7.362153	80.030535	['LK-6178']
LK-6181	Narammala	108.53	7.397099	80.193118	['LK-6181']
LK-6184	Alawwa	130.25	7.32858	80.217429	['LK-6184']
LK-6187	Polgahawela	96.57	7.374765	80.309654	['LK-6187']
LK-6203	Kalpitiya	162.65	8.121529	79.741752	['LK-6203']
LK-6206	Vanathavilluwa	737.44	8.340926	79.896228	['LK-6206']
LK-6209	Karuwalagaswewa	499.76	8.119648	79.999768	['LK-6209']
LK-6212	Nawagattegama	171.5	8.013076	80.088937	['LK-6212']
LK-6215	Puttalam	173.97	8.02708	79.863353	['LK-6215']
LK-6218	Mundel	220.37	7.865608	79.813679	['LK-6218']
LK-6221	Mahakumbukkadawala	185.05	7.848981	79.903955	['LK-6221']
LK-6224	Anamaduwa	248.63	7.905754	80.000002	['LK-6224']
LK-6227	Pallama	121.21	7.729777	79.934735	['LK-6227']
LK-6230	Arachchikattuwa	158.5	7.677875	79.849622	['LK-6230']
LK-6233	Chilaw	92.88	7.57962	79.838381	['LK-6233']
LK-6236	Madampe	93.03	7.518084	79.864026	['LK-6236']
LK-6239	Mahawewa	73.16	7.45504	79.850756	['LK-6239']
LK-6242	Nattandiya	77.81	7.396723	79.874381	['LK-6242']
LK-6245	Wennappuwa	41.25	7.323434	79.854768	['LK-6245']
LK-6248	Dankotuwa	76.68	7.321135	79.905767	['LK-6248']
LK-7103	Padaviya	247.26	8.84868	80.78417	['LK-7103']
LK-7106	Kebithigollewa	613.68	8.712242	80.715528	['LK-7106']
LK-7109	Medawachchiya	489.19	8.588785	80.496936	['LK-7109']
LK-7112	Mahawilachchiya	616.94	8.543334	80.170555	['LK-7112']
LK-7115	Nuwaragam Palatha Central	401.16	8.415737	80.352384	['LK-7115']
LK-7118	Rambewa	306.11	8.475597	80.550939	['LK-7118']
LK-7121	Kahatagasdigiliya	370.25	8.423981	80.711353	['LK-7121']
LK-7124	Horowpathana	832.95	8.5158	80.852802	['LK-7124']
LK-7127	Galenbidunuwewa	292.54	8.268046	80.708793	['LK-7127']
LK-7130	Mihinthale	229.44	8.348988	80.544542	['LK-7130']
LK-7133	Nuwaragam Palatha East	92.04	8.308879	80.446024	['LK-7133']
LK-7136	Nachchaduwa	110.03	8.251842	80.423925	['LK-7136']
LK-7139	Nochchiyagama	838.29	8.333933	80.125586	['LK-7139']
LK-7142	Rajanganaya	105.84	8.185818	80.180922	['LK-7142']
LK-7145	Thambuththegama	113.34	8.155242	80.316891	['LK-7145']
LK-7148	Thalawa	228.75	8.183572	80.380368	['LK-7148']
LK-7151	Thirappane	272.37	8.206458	80.557149	['LK-7151']
LK-7154	Kekirawa	346.75	8.059565	80.624469	['LK-7154']
LK-7157	Palugaswewa	205.62	8.081177	80.718542	['LK-7157']
LK-7160	Ipalogama	141.67	8.085235	80.507736	['LK-7160']
LK-7163	Galnewa	138.58	8.019713	80.450037	['LK-7163']
LK-7166	Palagala	225.47	7.90556	80.537532	['LK-7166']
LK-7203	Higurakgoda	705.23	8.114004	80.865402	['LK-7203']
LK-7206	Medirigiriya	573.26	8.185489	81.040095	['LK-7206']
LK-7209	Lankapura	197.47	8.058699	81.098071	['LK-7209']
LK-7210	Welikanda	574.33	8.05135	81.240046	['LK-7210']
LK-7212	Dimbulagala	585.9	7.785366	81.126323	['LK-7212']
LK-7215	Thamankaduwa	467.45	7.882873	80.990104	['LK-7215']
LK-7218	Elahera	366.09	7.815875	80.845529	['LK-7218']
LK-8103	Mahiyanganaya	601.88	7.43385	81.081405	['LK-8103']
LK-8106	Rideemaliyadda	437.14	7.274411	81.128186	['LK-8106']
LK-8109	Meegahakiula	108.82	7.126719	81.081054	['LK-8109']
LK-8112	Kandeketiya	150.72	7.129609	80.994256	['LK-8112']
LK-8115	Soranathota	80.5	7.045305	81.050182	['LK-8115']
LK-8118	Passara	134.59	6.964933	81.147248	['LK-8118']
LK-8119	Lunugala	143.01	7.037966	81.186128	['LK-8119']
LK-8121	Badulla	48.85	6.987256	81.086841	['LK-8121']
LK-8124	Hali-Ela	170.05	6.94587	81.019408	['LK-8124']
LK-8127	Uvaparanagama	137.69	6.966467	80.917273	['LK-8127']
LK-8130	Welimada	194.0	6.860252	80.880744	['LK-8130']
LK-8133	Bandarawela	70.9	6.830041	81.007966	['LK-8133']
LK-8136	Ella	109.61	6.868089	81.066011	['LK-8136']
LK-8139	Haputale	69.04	6.792339	80.962138	['LK-8139']
LK-8142	Haldummulla	415.17	6.698806	80.969558	['LK-8142']
LK-8203	Bibile	466.05	7.187842	81.298497	['LK-8203']
LK-8206	Madulla	750.32	7.160153	81.426163	['LK-8206']
LK-8209	Medagama	240.35	7.053049	81.292941	['LK-8209']
LK-8212	Siyambalanduwa	1059.94	6.845567	81.525567	['LK-8212']
LK-8215	Monaragala	290.52	6.832233	81.353268	['LK-8215']
LK-8218	Badalkumbura	237.09	6.869729	81.216912	['LK-8218']
LK-8221	Wellawaya	574.94	6.612619	81.127975	['LK-8221']
LK-8224	Buttala	709.86	6.660368	81.299812	['LK-8224']
LK-8227	Katharagama	609.08	6.494507	81.373695	['LK-8227']
LK-8230	Thanamalwila	635.54	6.501944	80.99412	['LK-8230']
LK-8233	Sevanagala	184.3	6.375974	80.930542	['LK-8233']
LK-9103	Eheliyagoda	140.97	6.838464	80.22653	['LK-9103']
LK-9106	Kuruvita	171.02	6.79925	80.354906	['LK-9106']
LK-9109	Kiriella	79.43	6.757653	80.275398	['LK-9109']
LK-9112	Ratnapura	327.73	6.728669	80.48182	['LK-9112']
LK-9115	Imbulpe	255.01	6.714738	80.736102	['LK-9115']
LK-9118-pre2019	Balangoda (pre 2019)	281.09	6.628873	80.767235	['LK-9118', 'LK-9119']
LK-9121	Opanayake	79.29	6.60947	80.625148	['LK-9121']
LK-9124	Pelmadulla	146.68	6.635419	80.509481	['LK-9124']
LK-9127	Elapatha	85.61	6.663299	80.354808	['LK-9127']
LK-9130	Ayagama	163.35	6.650948	80.291308	['LK-9130']
LK-9133	Kalawana	382.4	6.46448	80.451221	['LK-9133']
LK-9136	Nivithigala	153.46	6.56935	80.456325	['LK-9136']
LK-9139	Kahawattha	104.25	6.527983	80.545154	['LK-9139']
LK-9142	Godakawela	152.12	6.498162	80.641823	['LK-9142']
LK-9145	Weligepola	198.02	6.541498	80.740908	['LK-9145']
LK-9148	Embilipitiya	388.82	6.355221	80.813866	['LK-9148']
LK-9151	Kolonna	177.85	6.391184	80.678904	['LK-9151']
LK-9203	Rambukkana	127.79	7.324762	80.386138	['LK-9203']
LK-9206	Mawanella	120.09	7.230038	80.47224	['LK-9206']
LK-9209	Aranayake	120.09	7.167804	80.442178	['LK-9209']
LK-9212	Kegalle	106.25	7.209156	80.368156	['LK-9212']
LK-9215	Galigamuwa	124.59	7.216127	80.305524	['LK-9215']
LK-9218	Warakapola	196.98	7.203746	80.231762	['LK-9218']
LK-9221	Ruwanwella	140.64	7.064225	80.218789	['LK-9221']
LK-9224	Bulathkohipitiya	125.27	7.098344	80.355516	['LK-9224']
LK-9227	Yatiyantota	179.91	7.029854	80.371683	['LK-9227']
LK-9230	Dehiowita	193.95	6.939454	80.280907	['LK-9230']
LK-9233	Deraniyagala	222.16	6.907025	80.403181	['LK-9233']
